Domanda,Risposte
disclaimer,
annonascita,1993
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,F
nomecorso,scienze e tecniche psicologiche
ateneo,trieste
anniuso,14
anniinternet,14
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,archivio compresso
creazione_pdf,salvo da word,Adobe Reader
markup,Non so
hardware,hard disk
duckduckgo,Non so
siti_affidabili,treccani
https,units,googlemail,unicredit
allinurl,Non so
social_network,tutto pubblico
password,stessa password
phishing,controllo indirizzo
google,tutto
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

