Domanda,Risposte
disclaimer,
annonascita,1996
sesso,F
regione,Friuli Venezia Giulia
cdl,LT
annocorso,3
nomecorso,lettere
ateneo,udine
anniuso,14
anniinternet,8
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,N
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,medio
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,retenews24,treccani
https,units,googlemail,unicredit
allinurl,carattere jolly
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo
google,siti
inviocartella,cd,google drive
collaborazione,via email
spyware,antimalware,riavvio

