Domanda,Risposte
disclaimer,accetto
annonascita,1996
sesso,F
regione,Lombardia
cdl,LT
annocorso,3
nomecorso,lingue e letterature straniere
ateneo,milano
anniuso,17
anniinternet,9
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Tablet
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,N
competenza,scarsa
elaborazioneinformazioni,base
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,corrieredellasera,treccani
https,Non so
allinurl,Non so
social_network,tutto privato,opzioni privacy
password,stessa password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,altro browser

