Domanda,Risposte
disclaimer,
annonascita,1993
sesso,F
regione,Puglia
cdl,LM
annocorso,2
nomecorso,lingue e letterature europee ed extra-europee
ateneo,udine
anniuso,
anniinternet,15
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,nessuno
sicurezza,base
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo
google,siti
inviocartella,cd,google drive
collaborazione,via email,google docs
spyware,Non so

