Domanda,Risposte
disclaimer,Accetto
annonascita,1999
sesso,F
regione,Sardegna
cdl,LT
annocorso,2
nomecorso,lettere moderne
ateneo,cagliari
anniuso,8
anniinternet,8
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,N
espertouniversita,N
problemi,S
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,medio

