Domanda,Risposte
disclaimer,
annonascita,1999
sesso,F
regione,Toscana
cdl,LT
annocorso,1
nomecorso,lingue e letterature straniere
ateneo,pisa
anniuso,11
anniinternet,7
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,N
problemi,S
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,Adobe Reader
markup,javascript
hardware,Non so
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,scrivo le password
phishing,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,Non so

