Domanda,Risposte
disclaimer,
annonascita,1996
sesso,F
regione,Toscana
cdl,LT
annocorso,1
nomecorso,lingue e letterature straniere
ateneo,pisa
anniuso,18
anniinternet,11
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,S
competenza,scarsa
creazionecontenuti,base
file_rar,archivio compresso
creazione_pdf,salvo da word
hardware,hard disk
duckduckgo,p2p
siti_affidabili,treccani
https,unicredit
allinurl,Non so
social_network,opzioni privacy
password,scrivo le password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,via email,google docs
spyware,antimalware

