Domanda,Risposte
disclaimer,
annonascita,1998
sesso,F
regione,Abruzzo
cdl,LT
annocorso,2
nomecorso,beni culturali e turismo
ateneo,macerata
anniuso,15
anniinternet,11
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Smartphone
altrodispositivo,
attivita,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,medio
risoluzioneproblemi,base
sicurezza,base
file_rar,Non so
creazione_pdf,Adobe Reader
markup,Non so
hardware,hard disk
duckduckgo,Non so
siti_affidabili,ansa,treccani
https,googlemail
allinurl,Non so
social_network,opzioni privacy
password,cambio password,nessuna
phishing,controllo indirizzo
google,tutto
inviocartella,vari messaggi email
collaborazione,via email
spyware,Non so

