Domanda,Risposte
disclaimer,
annonascita,1994
sesso,F
regione,Puglia
cdl,LT
annocorso,2
nomecorso,lettere moderne
ateneo,salento
anniuso,13
anniinternet,13
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,Adobe Reader
markup,Non so
hardware,sistema operativo
duckduckgo,Non so
siti_affidabili,fattoquotidaino,wikipedia,corrieredellasera,treccani
https,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,scrivo le password
phishing,controllo indirizzo
google,tutto
inviocartella,Non so
collaborazione,via email,pendrive
spyware,modalita provvisoria

