Domanda,Risposte
disclaimer,
annonascita,1996
sesso,M
regione,Piemonte
cdl,LM
annocorso,1
nomecorso,letteratura
ateneo,torino
anniuso,10
anniinternet,10
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,S
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,avanzato
risoluzioneproblemi,nessuno
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,javascript,html,jpeg
hardware,Non so
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,treccani
https,Non so
allinurl,Non so
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo
google,tutto
inviocartella,google drive
collaborazione,via email
spyware,antimalware

