Domanda,Risposte
disclaimer,
annonascita,1998
sesso,M
regione,Puglia
cdl,LT
annocorso,3
nomecorso,lettere
ateneo,udine
anniuso,11
anniinternet,11
interesse,N
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,S
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,N
competenza,sufficiente
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,Non so
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,Non so
siti_affidabili,fattoquotidaino,ansa,corrieredellasera,retenews24,treccani
https,googlemail,unicredit
allinurl,Non so
social_network,opzioni privacy
password,nessuna
phishing,controllo indirizzo,cestino,rispondo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

