Domanda,Risposte
disclaimer,
annonascita,1994
sesso,M
regione,Lombardia
cdl,LT
annocorso,3
nomecorso,storia
ateneo,milano
anniuso,19
anniinternet,13
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Svago,Comunicazione
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,N
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,medio
comunicazione,medio
risoluzioneproblemi,medio
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,Non so
hardware,hard disk
duckduckgo,Non so
siti_affidabili,treccani
https,pornhub
allinurl,Non so
social_network,opzioni privacy
password,nessuna
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

