Domanda,Risposte
disclaimer,Accetto
annonascita,1995
sesso,F
regione,Emilia Romagna
cdl,LM
annocorso,2
nomecorso,specialized translation
ateneo,bologna
anniuso,15
anniinternet,15
interesse,N
computerpersonale,S
os,MacOS
altroos,
dispositivo,Portatile
altrodispositivo,
attivita,Studio,Lavoro,Svago
altroattivita,
sostituzionehardware,N
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,medio
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,medio
sicurezza,medio
file_rar,immagine
creazione_pdf,salvo da word
markup,Non so
hardware,Non so
duckduckgo,Non so
siti_affidabili,ansa,corrieredellasera,treccani
https,Non so
allinurl,Non so
social_network,opzioni privacy
password,stessa password
phishing,controllo indirizzo
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,tecnico,modalita provvisoria

