Domanda,Risposte
disclaimer,accetto
annonascita,1987
sesso,M
regione,Friuli Venezia Giulia
cdl,LM
annocorso,2
nomecorso,servizio sociale
ateneo,trieste
anniuso,21
anniinternet,17
interesse,S
computerpersonale,S
os,Windows
altroos,
dispositivo,Fisso
altrodispositivo,
attivita,Studio,Lavoro,Svago,Comunicazione
altroattivita,
sostituzionehardware,S
corsoit,N
ecdl,N
espertoliceo,S
espertouniversita,S
problemi,S
competenza,buona
elaborazioneinformazioni,avanzato
creazionecontenuti,base
comunicazione,avanzato
risoluzioneproblemi,base
sicurezza,medio
file_rar,archivio compresso
creazione_pdf,salvo da word
markup,javascript,html,xml
hardware,hard disk,stampante,supporti SSD,cavo hdmi
duckduckgo,motorericerca
siti_affidabili,ansa,treccani
https,pornhub,musicagratis,unicredit
allinurl,Non so
social_network,opzioni privacy
password,cambio password
phishing,controllo indirizzo,cestino
google,siti
inviocartella,google drive
collaborazione,google docs
spyware,antimalware

